Order_Date,Ship_Date,Ship_Mode,Segment,City,State,Region,Category,Sub_Category,Product_Name,Sales
2016-11-24,2016-11-30,Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76
2016-04-30,2016-05-05,Standard Class,Home Office,Chicago,Illinois,Central,Furniture,Chairs,"Global Value Mid-Back Managers Chair, Gray",213.115
2015-12-05,2015-12-10,Standard Class,Corporate,Gilbert,Arizona,West,Office Supplies,Art,"Hunt Boston Model 1606 High-Volume Electric Pencil Sharpener, Beige",500.558
2015-12-05,2015-12-10,Standard Class,Corporate,Gilbert,Arizona,West,Technology,Phones,Nettalk Duo Voip Telephone Service,167.968
2017-06-04,2017-06-06,First Class,Consumer,Springfield,Virginia,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88
2017-09-18,2017-09-23,Standard Class,Consumer,New York City,New York,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616
2018-09-14,2018-09-17,Second Class,Consumer,Jackson,Michigan,Central,Office Supplies,Paper,"Telephone Message Books With Fax/Mobile Section, 5 1/2 X 3 3/16",19.05
2016-04-26,2016-05-02,Standard Class,Consumer,Memphis,Tennessee,South,Furniture,Chairs,High-Back Leather Managers Chair,500.558
2016-04-26,2016-05-02,Standard Class,Consumer,Memphis,Tennessee,South,Furniture,Furnishings,"Tenex Traditional Chairmats For Medium Pile Carpet, Standard Lip, 36 X 48",97.04
2016-04-26,2016-05-02,Standard Class,Consumer,Memphis,Tennessee,South,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784
2018-12-09,2018-12-11,First Class,Corporate,Houston,Texas,Central,Office Supplies,Binders,Economy Binders,1.248
2018-12-09,2018-12-11,First Class,Corporate,Houston,Texas,Central,Furniture,Furnishings,"6 Cubicle Wall Clock, Black",9.708
2018-12-09,2018-12-11,First Class,Corporate,Houston,Texas,Central,Office Supplies,Storage,"Simplifile Personal File, Black Granite, 15W X 6-15/16D X 11-1/4H",27.24
2015-11-26,2015-12-01,Second Class,Consumer,Houston,Texas,Central,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3
2017-06-12,2017-06-15,First Class,Corporate,Decatur,Alabama,South,Office Supplies,Appliances,1.7 Cubic Foot Compact Cube Office Refrigerators,208.16
2017-06-12,2017-06-15,First Class,Corporate,Decatur,Alabama,South,Office Supplies,Binders,Avery Heavy-Duty Ezd  Binder With Locking Rings,16.74
2015-10-12,2015-10-16,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 By Central Association For The Blind",14.9
2015-10-12,2015-10-16,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39
2016-09-03,2016-09-08,Standard Class,Corporate,Durham,North Carolina,South,Office Supplies,Envelopes,Jet-Pak Recycled Peel N Seal Padded Mailers,200.984
2018-11-13,2018-11-16,First Class,Home Office,Chicago,Illinois,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376
2018-05-28,2018-05-30,Second Class,Consumer,Columbia,South Carolina,South,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96
2018-10-26,2018-11-02,Standard Class,Consumer,Rochester,Minnesota,Central,Technology,Accessories,Logitech Ls21 Speaker System - Pc Multimedia - 2.1-Ch - Wired,19.99
2018-10-26,2018-11-02,Standard Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Labels,Avery 511,6.16
2017-04-05,2017-04-10,Second Class,Home Office,Houston,Texas,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368
2017-09-17,2017-09-22,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Art,Turquoise Lead Holder With Pocket Clip,20.1
2017-09-17,2017-09-22,Standard Class,Corporate,Los Angeles,California,West,Technology,Phones,Panasonic Kx-Ts550,73.584
2017-09-17,2017-09-22,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,Xerox 1995,6.48
2016-01-31,2016-02-05,Second Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Paper,Xerox 1999,12.96
2016-01-31,2016-02-05,Second Class,Consumer,Minneapolis,Minnesota,Central,Furniture,Furnishings,Seth Thomas 13 1/2 Wall Clock,53.34
2016-01-31,2016-02-05,Second Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96
2018-11-06,2018-11-12,Standard Class,Home Office,Portland,Oregon,West,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682
2018-11-09,2018-11-11,Second Class,Home Office,New York City,New York,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53
2018-06-17,2018-06-20,First Class,Consumer,San Francisco,California,West,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312
2017-09-06,2017-09-11,Standard Class,Corporate,Saint Paul,Minnesota,Central,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88
2017-08-29,2017-09-02,Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624
2017-08-29,2017-09-02,Standard Class,Home Office,Chicago,Illinois,Central,Technology,Accessories,Sandisk Ultra 64 Gb Microsdhc Class 10 Memory Card,95.976
2017-08-29,2017-09-02,Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Binders,Avery Hidden Tab Dividers For Binding Systems,1.788
2017-12-01,2017-12-04,Second Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. And 87 Bright),23.92
2016-11-13,2016-11-17,Standard Class,Consumer,Aurora,Colorado,West,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896
2016-11-13,2016-11-17,Standard Class,Consumer,Aurora,Colorado,West,Furniture,Furnishings,"Deflect-O Duramat Lighweight, Studded, Beveled Mat For Low Pile Carpeting",102.36
2016-11-13,2016-11-17,Standard Class,Consumer,Aurora,Colorado,West,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3 Capacity, Black, 1040 Sheets",36.882
2018-11-23,2018-11-28,Standard Class,Consumer,Charlotte,North Carolina,South,Technology,Accessories,Memorex Mini Travel Drive 8 Gb Usb 2.0 Flash Drive,74.112
2018-11-23,2018-11-28,Standard Class,Consumer,Charlotte,North Carolina,South,Technology,Phones,Speck Products Candyshell Flip Case,27.992
2018-11-23,2018-11-28,Standard Class,Consumer,Charlotte,North Carolina,South,Office Supplies,Art,Newell Chalk Holder,3.304
2016-10-15,2016-10-20,Standard Class,Home Office,Orland Park,Illinois,Central,Technology,Accessories,Logitech Gaming G510S - Keyboard,339.96
2018-12-25,2018-12-30,Standard Class,Corporate,New York City,New York,East,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96
2017-11-03,2017-11-10,Standard Class,Consumer,Urbandale,Iowa,Central,Office Supplies,Art,"Hunt Powerhouse Electric Pencil Sharpener, Blue",75.96
2017-11-03,2017-11-10,Standard Class,Consumer,Urbandale,Iowa,Central,Office Supplies,Binders,Avery Durable Plastic 1 Binders,27.24
2015-08-25,2015-08-27,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Fasteners,"Oic Colored Binder Clips, Assorted Sizes",40.096
2015-08-25,2015-08-27,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 X 9 1/2",4.72
2015-08-25,2015-08-27,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Paper,Xerox 1921,23.976
2015-08-25,2015-08-27,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464
2016-03-02,2016-03-06,Standard Class,Consumer,Seattle,Washington,West,Furniture,Tables,Hon Racetrack Conference Tables,500.558
2016-04-05,2016-04-10,Standard Class,Corporate,Bristol,Tennessee,South,Office Supplies,Binders,Gbc Docubind 300 Electric Binding Machine,157.794
2017-06-12,2017-06-15,First Class,Consumer,Wilmington,Delaware,East,Furniture,Furnishings,Artistic Insta-Plaque,47.04
2017-06-12,2017-06-15,First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Binders,Dxl Angle-View Binders With Locking Rings By Samsill,30.84
2017-06-12,2017-06-15,First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56
2017-06-12,2017-06-15,First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02
2017-06-12,2017-06-15,First Class,Consumer,Wilmington,Delaware,East,Technology,Phones,Kld Oscar Ii Style Snap-On Ultra Thin Side Flip Synthetic Leather Cover Case For Htc One Htc M7,68.04
2015-12-26,2015-12-28,Second Class,Home Office,Houston,Texas,Central,Furniture,Chairs,Global Deluxe High-Back Managers Chair,500.558
2015-09-20,2015-09-25,Standard Class,Consumer,Bloomington,Illinois,Central,Furniture,Tables,Bevis 44 X 96 Conference Tables,500.558
2018-11-05,2018-11-12,Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388
2018-11-05,2018-11-12,Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle Ii, Black",243.992
2017-11-06,2017-11-10,Second Class,Home Office,Los Angeles,California,West,Furniture,Chairs,"Global Task Chair, Black",81.424
2017-11-06,2017-11-10,Second Class,Home Office,Los Angeles,California,West,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats For High Pile Carpets,238.56
2018-02-02,2018-02-05,First Class,Corporate,Columbus,Ohio,East,Technology,Phones,Anker 36W 4-Port Usb Wall Charger Travel Power Adapter For Iphone 5S 5C 5,59.97
2018-02-02,2018-02-05,First Class,Corporate,Columbus,Ohio,East,Office Supplies,Paper,Xerox 1916,78.304
2018-02-02,2018-02-05,First Class,Corporate,Columbus,Ohio,East,Office Supplies,Fasteners,Staples,21.456
2017-10-13,2017-10-19,Standard Class,Consumer,Roseville,California,West,Office Supplies,Paper,Xerox 195,20.04
2017-10-13,2017-10-19,Standard Class,Consumer,Roseville,California,West,Office Supplies,Paper,Xerox 1880,35.44
2017-10-13,2017-10-19,Standard Class,Consumer,Roseville,California,West,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52
2017-10-13,2017-10-19,Standard Class,Consumer,Roseville,California,West,Office Supplies,Fasteners,Ideal Clamps,4.02
2017-10-13,2017-10-19,Standard Class,Consumer,Roseville,California,West,Office Supplies,Binders,Gbc Wire Binding Strips,76.176
2017-10-13,2017-10-19,Standard Class,Consumer,Roseville,California,West,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88
2017-10-13,2017-10-19,Standard Class,Consumer,Roseville,California,West,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12
2017-09-05,2017-09-07,Second Class,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock,82.8
2018-09-18,2018-09-23,Standard Class,Corporate,San Francisco,California,West,Office Supplies,Art,Newell 343,8.82
2018-09-18,2018-09-23,Standard Class,Corporate,San Francisco,California,West,Office Supplies,Envelopes,Convenience Packs Of Business Envelopes,10.86
2018-09-18,2018-09-23,Standard Class,Corporate,San Francisco,California,West,Office Supplies,Paper,Xerox 1911,143.7
2018-12-22,2018-12-27,Standard Class,Consumer,Independence,Missouri,Central,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,500.558
2016-09-07,2016-09-12,Standard Class,Consumer,Pasadena,California,West,Office Supplies,Storage,Safco Industrial Wire Shelving,500.558
2015-10-22,2015-10-28,Standard Class,Home Office,Newark,Ohio,East,Furniture,Furnishings,Seth Thomas 14 Putty-Colored Wall Clock,93.888
2017-12-05,2017-12-09,Standard Class,Corporate,Franklin,Wisconsin,Central,Technology,Phones,Plantronics Cordless Phone Headset With In-Line Volume - M214C,384.45
2017-12-05,2017-12-09,Standard Class,Corporate,Franklin,Wisconsin,Central,Technology,Phones,Anker Astro 15000Mah Usb Portable Charger,149.97
2017-12-05,2017-12-09,Standard Class,Corporate,Franklin,Wisconsin,Central,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",500.558
2017-12-05,2017-12-09,Standard Class,Corporate,Franklin,Wisconsin,Central,Office Supplies,Binders,Gbc Prestige Therm-A-Bind Covers,171.55
2017-03-13,2017-03-16,First Class,Home Office,Scottsdale,Arizona,West,Office Supplies,Appliances,Belkin 7 Outlet Surgemaster Surge Protector With Phone Protection,157.92
2017-03-13,2017-03-16,First Class,Home Office,Scottsdale,Arizona,West,Technology,Phones,Jabra Biz 2300 Duo Qd Duo Corded Headset,203.184
2016-05-31,2016-06-02,First Class,Corporate,San Jose,California,West,Office Supplies,Paper,Southworth 25 Perc Cotton Antique Laid Paper & Envelopes,58.38
2016-05-31,2016-06-02,First Class,Corporate,San Jose,California,West,Office Supplies,Paper,Xerox 1883,105.52
2016-05-31,2016-06-02,First Class,Corporate,San Jose,California,West,Office Supplies,Storage,"Tenex Personal Project File With Scoop Front Design, Black",80.88
2016-05-28,2016-06-03,Standard Class,Home Office,Seattle,Washington,West,Office Supplies,Art,Newell 311,6.63
2015-03-01,2015-03-06,Second Class,Consumer,Seattle,Washington,West,Furniture,Chairs,Global Deluxe High-Back Managers Chair,457.568
2017-11-20,2017-11-24,Standard Class,Consumer,Edmond,Oklahoma,Central,Office Supplies,Labels,Avery 519,14.62
2017-11-20,2017-11-24,Standard Class,Consumer,Edmond,Oklahoma,Central,Technology,Phones,Avaya 5420 Digital Phone,500.558
2017-05-11,2017-05-12,First Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,Xerox 1920,5.98
2016-12-28,2016-12-31,Second Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Accessories,Lenovo 17-Key Usb Numeric Keypad,54.384
2017-11-16,2017-11-20,Standard Class,Consumer,Carlsbad,New Mexico,West,Office Supplies,Envelopes,Staple Envelope,28.4
2017-11-07,2017-11-11,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68
2015-09-08,2015-09-12,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Art,Bic Brite Liner Highlighters,9.936
2015-09-08,2015-09-12,Standard Class,Consumer,San Antonio,Texas,Central,Technology,Machines,Lexmark Mx611Dhe Monochrome Laser Printer,500.558
2015-09-08,2015-09-12,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Storage,Space Solutions Hd Industrial Steel Shelving.,275.928
2015-09-08,2015-09-12,Standard Class,Consumer,San Antonio,Texas,Central,Furniture,Chairs,Safco Arco Folding Chair,500.558
2015-09-08,2015-09-12,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Art,Sanford Liquid Accent Highlighters,32.064
2015-09-08,2015-09-12,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Appliances,Kensington 7 Outlet Masterpiece Power Center,177.98
2015-09-08,2015-09-12,Standard Class,Consumer,San Antonio,Texas,Central,Technology,Phones,Jbl Micro Wireless Portable Bluetooth Speaker,143.976
2015-08-05,2015-08-09,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 X 11",20.94
2015-08-05,2015-08-09,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,Xerox 1913,110.96
2015-08-05,2015-08-09,Standard Class,Consumer,Los Angeles,California,West,Furniture,Chairs,"Global Value Steno Chair, Gray",340.144
2015-09-14,2015-09-19,Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Appliances,Kensington 7 Outlet Masterpiece Homeoffice Power Control Center,52.448
2015-09-14,2015-09-19,Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Labels,Avery 51,20.16
2018-04-21,2018-04-25,Second Class,Consumer,Houston,Texas,Central,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.264
2016-11-21,2016-11-23,Second Class,Consumer,Newark,Ohio,East,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",396.802
2016-11-21,2016-11-23,Second Class,Consumer,Newark,Ohio,East,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,15.88
2016-12-15,2016-12-19,Standard Class,Home Office,New York City,New York,East,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",3.28
2015-12-05,2015-12-09,Second Class,Corporate,Decatur,Illinois,Central,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote With Lid, Black",24.816
2015-12-05,2015-12-09,Second Class,Corporate,Decatur,Illinois,Central,Technology,Accessories,Imation Secure+ Hardware Encrypted Usb 2.0 Flash Drive; 16Gb,408.744
2015-11-19,2015-11-24,Second Class,Home Office,Monroe,Louisiana,South,Technology,Phones,At&T Tr1909W,500.558
2015-11-19,2015-11-24,Second Class,Home Office,Monroe,Louisiana,South,Technology,Phones,Nokia Lumia 521 (T-Mobile),149.95
2015-11-19,2015-11-24,Second Class,Home Office,Monroe,Louisiana,South,Technology,Accessories,Hp Standard 104 Key Ps/2 Keyboard,29.0
2017-11-28,2017-12-02,Standard Class,Consumer,Fairfield,Connecticut,East,Office Supplies,Binders,Avery Poly Binder Pockets,7.16
2015-08-26,2015-08-30,Standard Class,Home Office,Los Angeles,California,West,Technology,Accessories,Sandisk Ultra 32 Gb Microsdhc Class 10 Memory Card,176.8
2017-07-16,2017-07-22,Standard Class,Corporate,Grand Prairie,Texas,Central,Office Supplies,Storage,"Personal Filing Tote With Lid, Black/Gray",37.224
2017-07-16,2017-07-22,Standard Class,Corporate,Grand Prairie,Texas,Central,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016
